drug,standardized_name
Pneumococcal Vac Polyvalent,PNEUMOCOCCAL VAC POLYVALENT
Namenda,NAMENDA
Albuterol Inhaler,ALBUTEROL INHALER
Albuterol 0.083% Neb Soln,ALBUTEROL
1/2 NS,1/2 NS
Vial,VIAL
Iso-Osmotic Dextrose,ISO-OSMOTIC DEXTROSE
D5W,D5W
Creon 10,CREON 10
Neutra-Phos,NEUTRA-PHOS
D5 1/2NS,D5 1/2NS
D5NS,D5NS
SW,SW
Hespan,HESPAN
Influenza Virus Vaccine,INFLUENZA VIRUS VACCINE
Dextrose 50%,DEXTROSE
Phytonadione,PHYTONADIONE
Unasyn,UNASYN
Cosyntropin,COSYNTROPIN
Albuterol,ALBUTEROL
Multivitamin IV,MULTIVITAMIN IV
Syringe,SYRINGE
Dextrose 5%,DEXTROSE
Albuterol Neb Soln,ALBUTEROL NEB
Cephalexin,CEPHALEXIN
Glycopyrrolate,GLYCOPYRROLATE
Ursodiol,URSODIOL
Meperidine,MEPERIDINE
Levalbuterol HCl,LEVALBUTEROL HCL
Papain 2.5 % Solution,PAPAIN 2.5 % SOLUTION
Xopenex,XOPENEX
Aspirin EC,ASPIRIN EC
Milk of Magnesia,MILK OF MAGNESIA
Exelon,EXELON
D5W (EXCEL BAG),D5W
Nitroglycerin,NITROGLYCERIN
Lacri-Lube Oint,LACRI-LUBE OINT
Artificial Tear Ointment,ARTIFICIAL TEAR OINTMENT
Lumigan,LUMIGAN
Cromolyn,CROMOLYN
Acular,ACULAR
Cepacol (Menthol),CEPACOL
Nephrocaps,NEPHROCAPS
Nitroglycerin Oint. 2%,NITROGLYCERIN OINT.
Nitroglycerin SL,NITROGLYCERIN SL
D5LR,D5LR
Methimazole,METHIMAZOLE
Torsemide,TORSEMIDE
Sterile Water For Irrigation,STERILE WATER FOR IRRIGATION
Bag,BAG
Simethicone,SIMETHICONE
Acyclovir,ACYCLOVIR
Indomethacin,INDOMETHACIN
Sarna Lotion,SARNA LOTION
Golytely,GOLYTELY
Multivitamin 12,MULTIVITAMIN 12
Pletal,PLETAL
Hydroxyurea,HYDROXYUREA
Bismuth Subsalicylate,BISMUTH SUBSALICYLATE
Tocopheryl,TOCOPHERYL
Rifampin,RIFAMPIN
Tarceva,TARCEVA
Glyburide,GLYBURIDE
Sterile Water,STERILE WATER
Syringe (IV Room),SYRINGE
D5W (Glass Bottle),D5W
Sterile Diluent for Flolan,STERILE DILUENT FOR FLOLAN
Hepatitis B Immune Globulin (Nabi-HB),HEPATITIS B IMMUNE GLOBULIN
Normocarb,NORMOCARB
Nitroglycerin Ointment  2%,NITROGLYCERIN OINTMENT
Propoxyphene Nap.-Apap (N-100),PROPOXYPHENE NAP.-APAP
Dostinex,DOSTINEX
Prismasate (B32 K2),PRISMASATE
Fleet Phospho-Soda,FLEET PHOSPHO-SODA
tucks,TUCKS
PNEUMOcoccal Vac Polyvalent,PNEUMOCOCCAL VAC POLYVALENT
Viokase-8,VIOKASE-8
Artificial Tears Preserv. Free,ARTIFICIAL TEARS PRESERV. FREE
Creon 12,CREON 12
Acetaminophen IV,ACETAMINOPHEN IV
Fleet Enema,FLEET ENEMA
Pancrelipase 5000,PANCRELIPASE 5000
Phosphorus,PHOSPHORUS
Lactated Ringers,LACTATED RINGERS
Albuterol MDI,ALBUTEROL MDI
Methylene Blue 1%,METHYLENE BLUE
Desitin,DESITIN
Succinylcholine,SUCCINYLCHOLINE
Epidural Bag,EPIDURAL BAG
Prismasate (B22 K4),PRISMASATE
Citrate Dextrose 3% (ACD-A) CRRT,CITRATE DEXTROSE
Meclizine,MECLIZINE
Divalproex (EXTended Release),DIVALPROEX
Divalproex Sod. Sprinkles,DIVALPROEX SOD. SPRINKLES
Vigamox,VIGAMOX
Pentamidine-Inhalation,PENTAMIDINE-INHALATION
Syringe (0.9% Sodium Chloride),SYRINGE
Xopenex Neb,XOPENEX NEB
Gelclair,GELCLAIR
Syringe (Chemo),SYRINGE
Gammagard Liquid,GAMMAGARD
Caphosol,CAPHOSOL
